date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:01:48	89496/89496	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2021%20Dec%202020%2018:00:51%20GMT	https://ntf.foundstaging.com/wp-includes/js/jquery/jquery.min.js?ver=3.5.1	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/ntf.foundstaging.com/wp-includes/js/jquery/jquery.min9d52.js	(from https://ntf.foundstaging.com/)
12:01:48	11224/11224	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2021%20Dec%202020%2018:00:51%20GMT	https://ntf.foundstaging.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/ntf.foundstaging.com/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://ntf.foundstaging.com/)
12:01:49	3192/3192	---M-Z	200	added ('OK')	application/json	date:Thu,%2024%20Dec%202020%2006:16:50%20GMT	https://ntf.foundstaging.com/wp-json/wp/v2/pages/5	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/ntf.foundstaging.com/wp-json/wp/v2/pages/5.json	(from https://ntf.foundstaging.com/)
12:01:49	126351/126351	---M-Z	200	added ('OK')	application/json	date:Thu,%2024%20Dec%202020%2006:16:50%20GMT	https://ntf.foundstaging.com/wp-json/	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/ntf.foundstaging.com/wp-json/index.html	(from https://ntf.foundstaging.com/)
12:01:49	834/834	---M-Z	200	added ('OK')	text/xml	date:Thu,%2024%20Dec%202020%2006:16:50%20GMT	https://ntf.foundstaging.com/xmlrpc.php?rsd	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/ntf.foundstaging.com/xmlrpc0db0.php	(from https://ntf.foundstaging.com/)
12:01:50	1045/1045	---M-Z	200	added ('OK')	application/xml	date:Wed,%2011%20Dec%202013%2019:49:12%20GMT	https://ntf.foundstaging.com/wp-includes/wlwmanifest.xml	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/ntf.foundstaging.com/wp-includes/wlwmanifest.xml	(from https://ntf.foundstaging.com/)
12:01:50	2239/2239	---M-Z	200	added ('OK')	application/json	date:Thu,%2024%20Dec%202020%2006:16:51%20GMT	https://ntf.foundstaging.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fntf.foundstaging.com%2F	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/ntf.foundstaging.com/wp-json/oembed/1.0/embeda5cc.json	(from https://ntf.foundstaging.com/)
12:01:51	2333/2333	---M-Z	200	added ('OK')	text/xml	date:Thu,%2024%20Dec%202020%2006:16:52%20GMT	https://ntf.foundstaging.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fntf.foundstaging.com%2F&format=xml	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/ntf.foundstaging.com/wp-json/oembed/1.0/embedc8ac	(from https://ntf.foundstaging.com/)
12:01:51	873/873	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Dec%202020%2017:26:23%20GMT	https://ntf.foundstaging.com/wp-content/uploads/2020/12/cropped-ntf-fav-32x32.png	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/ntf.foundstaging.com/wp-content/uploads/2020/12/cropped-ntf-fav-32x32.png	(from https://ntf.foundstaging.com/)
12:01:51	6937/6937	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Dec%202020%2017:26:23%20GMT	https://ntf.foundstaging.com/wp-content/uploads/2020/12/cropped-ntf-fav-192x192.png	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/ntf.foundstaging.com/wp-content/uploads/2020/12/cropped-ntf-fav-192x192.png	(from https://ntf.foundstaging.com/)
12:01:51	6454/6454	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Dec%202020%2017:26:23%20GMT	https://ntf.foundstaging.com/wp-content/uploads/2020/12/cropped-ntf-fav-180x180.png	E:/99degitaldesign/ntf-group/https___ntf.foundstaging.com_/ntf.foundstaging.com/wp-content/uploads/2020/12/cropped-ntf-fav-180x180.png	(from https://ntf.foundstaging.com/)
